customer_id,offer_id,received_time,viewed_time,completed_time,offer_combo,transaction_time,amount
0011e0d4e6b944f998e987f904e8c1e5,0b1e1539f2cc45b7b9fa7c272da2e1d7,408,432.0,576.0,discount-20-5-10,576,22.05
0011e0d4e6b944f998e987f904e8c1e5,2298d6c36e964ae4a3e7e9706d1fb8c2,168,186.0,252.0,discount-7-3-7,252,11.93
0011e0d4e6b944f998e987f904e8c1e5,9b98b8c7a33c4b65b9aebfe6a799e6d9,504,516.0,576.0,bogo-5-5-7,576,22.05
0020c2b971eb4e9188eac86d93036a77,4d5c57ea9a6940dd891ad53e9dbe8da0,408,426.0,510.0,bogo-10-10-5,510,17.24
0020c2b971eb4e9188eac86d93036a77,fafdcd668e3743c1bb461111dcafc2a4,0,12.0,54.0,discount-10-2-10,54,17.63
0020ccbbb6d84e358d3414a3ff76cffd,2298d6c36e964ae4a3e7e9706d1fb8c2,168,168.0,222.0,discount-7-3-7,222,11.65
0020ccbbb6d84e358d3414a3ff76cffd,9b98b8c7a33c4b65b9aebfe6a799e6d9,504,582.0,600.0,bogo-5-5-7,600,10.32
0020ccbbb6d84e358d3414a3ff76cffd,f19421c1d4aa40978ebb69ca19b0e20d,336,348.0,378.0,bogo-5-5-5,378,14.53
003d66b6608740288d6cc97a6903f4f0,fafdcd668e3743c1bb461111dcafc2a4,168,300.0,384.0,discount-10-2-10,384,3.66
003d66b6608740288d6cc97a6903f4f0,fafdcd668e3743c1bb461111dcafc2a4,408,420.0,504.0,discount-10-2-10,504,5.01
00426fe3ffde4c6b9cb9ad6d077a13ea,fafdcd668e3743c1bb461111dcafc2a4,168,186.0,258.0,discount-10-2-10,258,16.97
004b041fbfe44859945daa2c7f79ee64,f19421c1d4aa40978ebb69ca19b0e20d,504,510.0,534.0,bogo-5-5-5,534,27.92
004b041fbfe44859945daa2c7f79ee64,fafdcd668e3743c1bb461111dcafc2a4,576,576.0,714.0,discount-10-2-10,714,19.93
004c5799adbf42868b9cff0396190900,f19421c1d4aa40978ebb69ca19b0e20d,408,408.0,432.0,bogo-5-5-5,432,22.82
004c5799adbf42868b9cff0396190900,f19421c1d4aa40978ebb69ca19b0e20d,504,516.0,558.0,bogo-5-5-5,558,35.91
004c5799adbf42868b9cff0396190900,fafdcd668e3743c1bb461111dcafc2a4,168,174.0,222.0,discount-10-2-10,222,43.21
0056df74b63b4298809f0b375a304cf4,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,24.0,132.0,bogo-5-5-7,132,27.86
0082fd87c18f45f2be70dbcbb0fb8aad,9b98b8c7a33c4b65b9aebfe6a799e6d9,336,348.0,366.0,bogo-5-5-7,366,19.24
0082fd87c18f45f2be70dbcbb0fb8aad,9b98b8c7a33c4b65b9aebfe6a799e6d9,336,348.0,450.0,bogo-5-5-7,450,8.95
00840a2ca5d2408e982d56544dc14ffd,2906b810c7d4411798c6938adc9daaa5,504,510.0,540.0,discount-10-2-7,540,6.05
00840a2ca5d2408e982d56544dc14ffd,fafdcd668e3743c1bb461111dcafc2a4,168,204.0,246.0,discount-10-2-10,246,5.11
0091d2b6a5ea4defaa8393e4e816db60,0b1e1539f2cc45b7b9fa7c272da2e1d7,168,252.0,300.0,discount-20-5-10,300,27.03
0091d2b6a5ea4defaa8393e4e816db60,4d5c57ea9a6940dd891ad53e9dbe8da0,0,6.0,6.0,bogo-10-10-5,6,18.26
0091d2b6a5ea4defaa8393e4e816db60,f19421c1d4aa40978ebb69ca19b0e20d,408,408.0,408.0,bogo-5-5-5,408,27.32
0091d2b6a5ea4defaa8393e4e816db60,f19421c1d4aa40978ebb69ca19b0e20d,504,510.0,540.0,bogo-5-5-5,540,42.83
0099bf30e4cb4265875266eb3eb25eab,fafdcd668e3743c1bb461111dcafc2a4,0,0.0,234.0,discount-10-2-10,234,5.76
00a794f62b9a48beb58f8f6c02c2f1a6,f19421c1d4aa40978ebb69ca19b0e20d,504,504.0,534.0,bogo-5-5-5,534,11.27
00ae03011f9f49b8a4b3e6d416678b0b,2298d6c36e964ae4a3e7e9706d1fb8c2,336,336.0,402.0,discount-7-3-7,402,15.54
00ae03011f9f49b8a4b3e6d416678b0b,2298d6c36e964ae4a3e7e9706d1fb8c2,576,606.0,618.0,discount-7-3-7,618,30.83
00ae03011f9f49b8a4b3e6d416678b0b,ae264e3637204a6fb9bb56bc8210ddfd,504,534.0,618.0,bogo-10-10-7,618,30.83
00b18b535d6d4f779dea4dc9ac451478,2298d6c36e964ae4a3e7e9706d1fb8c2,0,6.0,156.0,discount-7-3-7,156,25.28
00b18b535d6d4f779dea4dc9ac451478,2298d6c36e964ae4a3e7e9706d1fb8c2,168,174.0,228.0,discount-7-3-7,228,25.73
00b18b535d6d4f779dea4dc9ac451478,fafdcd668e3743c1bb461111dcafc2a4,576,576.0,702.0,discount-10-2-10,702,23.97
00b3400e4ff64ee68ce9ada1d0c222f0,fafdcd668e3743c1bb461111dcafc2a4,576,594.0,606.0,discount-10-2-10,606,22.28
00b3c376db2a4115af3aef34a02f61d6,ae264e3637204a6fb9bb56bc8210ddfd,168,204.0,252.0,bogo-10-10-7,252,19.44
00bbce6533f44ddeaf4dd32bcab55441,2906b810c7d4411798c6938adc9daaa5,408,408.0,468.0,discount-10-2-7,468,18.51
00bbce6533f44ddeaf4dd32bcab55441,9b98b8c7a33c4b65b9aebfe6a799e6d9,504,504.0,576.0,bogo-5-5-7,576,6.67
00bc42a62f884b41a13cc595856cf7c3,2298d6c36e964ae4a3e7e9706d1fb8c2,408,408.0,486.0,discount-7-3-7,486,14.3
